Afghanistan,AFG,,,,,,,,,,,,,
Albania,ALB,,86.78701,85.34118,85.95611,86.99052,89.53195,95.41897,97.59204,97.79873,97.65542,97.77841,97.44221,
Algeria,DZA,95.89073,97.26895,98.99715,98.92068,99.08721,,,,,,99.48537,99.6475,
American Samoa,ASM,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,
Angola,AGO,,82.44691,81.2593,81.90919,81.59927,,,,,,,,
Antigua and Barbuda,ATG,97.35554,97.58825,,96.3281,95.97518,94.87391,,93.73436,97.63492,,97.55055,99.3101,
Argentina,ARG,99.65259,99.52275,99.51247,99.13102,99.21521,99.26778,99.44548,99.7727,99.83682,99.4496,99.48052,,
Armenia,ARM,97.07957,,,,95.15386,96.41176,96.5881,94.12688,93.03258,92.49744,92.31421,90.843,
Aruba,ABW,98.91579,99.10333,96.0174,98.91975,,,,99.29199,,,,,
Australia,AUS,96.55403,96.67832,96.81221,97.10396,97.67766,97.98651,97.48417,97.13516,97.10963,96.7724,96.4991,,
Austria,AUT,88.19702,87.79193,87.46642,87.39116,87.19339,88.42921,88.4241,88.73989,88.62591,88.8771,88.64471,,
Azerbaijan,AZE,83.45841,83.98751,85.5189,84.72605,87.26808,89.29003,93.67068,94.8121,94.26275,94.96529,97.93103,92.61575,
"Bahamas, The",BHS,87.28796,86.09097,82.08308,80.65799,85.85102,80.16219,74.89342,75.62908,79.96521,75.50359,,74.38987,
Bahrain,BHR,,,,,91.89966,92.75377,93.77229,95.768,98.02753,97.90026,98.72605,98.10484,
Bangladesh,BGD,,95.72411,95.86042,94.9566,,,,,,,,,
Barbados,BRB,94.77144,98.75138,97.23732,94.97605,93.48965,,,93.48471,95.84843,98.03848,96.55139,98.38821,
Belarus,BLR,90.03092,,,91.39466,91.01664,94.27956,93.52767,93.43187,94.25545,96.35791,95.9291,95.20914,
Belgium,BEL,97.24514,97.84119,97.77166,97.52697,97.6514,97.99151,98.02977,97.97358,98.38347,98.66219,99.11352,,
Belize,BLZ,95.26155,96.26669,97.14145,98.03297,97.67031,99.54131,98.82235,99.2171,99.28398,99.24787,99.35225,99.01278,
